condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,resp.started,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,trial_instructions.started,key_instruct_2.started,trial_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
congruent,O,4,1,9,1,,,,,24.05010880017653,,,,,,,,24.035557399969548,24.03620530012995,24.036229100078344,24.05010880017653,24.05010880017653,24.05010880017653,24.249537599738687,25.550270800013095,25.550270800013095,25.550270800013095,25.550270800013095,26.050302399788052,26.550210299901664,26.53452910017222,None,0,,,,,,,001,1,0,2023-10-26_15h19.43.132,simon_task,2023.2.2,59.57892000914629,2023-10-26 15h19.53.835942 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.53513119975105,26.550210299901664,28.301999600138515,space,1.740980800241232,None,001,1,0,2023-10-26_15h19.43.132,simon_task,2023.2.2,59.57892000914629,2023-10-26 15h19.53.835942 +0100,
incongruent,X,,,,,0,0,0,0,28.331390200182796,,,,,,,,28.30689529981464,28.307483999989927,28.307502099778503,28.331390200182796,28.331390200182796,28.331390200182796,28.515917900018394,29.81499500013888,29.83228649990633,29.83228649990633,29.83228649990633,30.315836099907756,30.815915199927986,30.801190999802202,None,0,,,,,,,001,1,0,2023-10-26_15h19.43.132,simon_task,2023.2.2,59.57892000914629,2023-10-26 15h19.53.835942 +0100,
congruent,X,,,,,0,1,1,1,30.815915199927986,,,,,,,,30.80204109987244,30.802578600123525,30.80260040005669,30.815915199927986,30.815915199927986,30.815915199927986,31.016365199815482,32.3160410001874,32.3160410001874,32.3160410001874,32.3160410001874,32.834039699751884,33.31601419998333,33.300540199968964,None,0,,,,,,,001,1,0,2023-10-26_15h19.43.132,simon_task,2023.2.2,59.57892000914629,2023-10-26 15h19.53.835942 +0100,
incongruent,O,,,,,0,2,2,2,33.31601419998333,,,,,,,,33.30107869999483,33.30149699980393,33.30151899997145,33.31601419998333,33.31601419998333,33.31601419998333,33.51545999990776,34.81572900013998,34.81572900013998,34.81572900013998,34.81572900013998,35.31789130019024,35.81578409997746,35.799276900012046,None,0,,,,,,,001,1,0,2023-10-26_15h19.43.132,simon_task,2023.2.2,59.57892000914629,2023-10-26 15h19.53.835942 +0100,
congruent,O,,,,,0,3,3,3,35.81578409997746,,,,,,,,35.799756799824536,35.80029059993103,35.80030889995396,35.81578409997746,35.81578409997746,35.81578409997746,36.00017620017752,37.300321800168604,37.31610250007361,37.31610250007361,37.31610250007361,37.79995119990781,38.315033100079745,38.28505459986627,None,0,,,,,,,001,1,0,2023-10-26_15h19.43.132,simon_task,2023.2.2,59.57892000914629,2023-10-26 15h19.53.835942 +0100,
incongruent,X,,,,,1,0,4,0,38.315033100079745,,,,,,,,38.28614680003375,38.287021399941295,38.28707550000399,38.315033100079745,38.315033100079745,38.315033100079745,38.50053900014609,39.79992510005832,39.819274600129575,39.819274600129575,39.819274600129575,40.30012369994074,40.798650899901986,40.78323179995641,None,0,,,,,,,001,1,0,2023-10-26_15h19.43.132,simon_task,2023.2.2,59.57892000914629,2023-10-26 15h19.53.835942 +0100,
congruent,X,,,,,1,1,5,1,40.798650899901986,,,,,,,,40.783637300133705,40.78400400001556,40.784027399960905,40.798650899901986,40.798650899901986,40.798650899901986,40.99873529979959,42.298448299989104,42.298448299989104,42.298448299989104,42.298448299989104,42.79878289997578,43.29870520019904,43.282839599996805,None,0,,,,,,,001,1,0,2023-10-26_15h19.43.132,simon_task,2023.2.2,59.57892000914629,2023-10-26 15h19.53.835942 +0100,
incongruent,O,,,,,1,2,6,2,43.29870520019904,,,,,,,,43.2833986999467,43.28387159993872,43.283898800145835,43.29870520019904,43.29870520019904,43.29870520019904,43.497465199790895,44.79869249975309,44.79869249975309,44.79869249975309,44.79869249975309,45.2982006999664,45.79848330002278,45.78227309975773,None,0,,,,,,,001,1,0,2023-10-26_15h19.43.132,simon_task,2023.2.2,59.57892000914629,2023-10-26 15h19.53.835942 +0100,
congruent,O,,,,,1,3,7,3,45.79848330002278,,,,,,,,45.78272800007835,45.783218999858946,45.783240399789065,45.79848330002278,45.79848330002278,45.79848330002278,45.99885350000113,47.29861199995503,47.29861199995503,47.29861199995503,47.29861199995503,47.79851259989664,48.29844579985365,48.282733200117946,None,0,,,,,,,001,1,0,2023-10-26_15h19.43.132,simon_task,2023.2.2,59.57892000914629,2023-10-26 15h19.53.835942 +0100,
