condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,left_image.started,right_image.started,resp.started,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,left_image.stopped,right_image.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,resp.rt,resp.duration,trial_instructions.started,key_instruct_2.started,trial_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
congruent,X,,,,,0,1,1,1,61.13783989986405,,,,,,,,61.124665999785066,61.12525469996035,61.1252803998068,61.13783989986405,61.13783989986405,61.13783989986405,61.13783989986405,61.13783989986405,61.33810949977487,62.638163399882615,62.638163399882615,62.638163399882615,62.638163399882615,62.638163399882615,62.638163399882615,63.137394099961966,63.63820349983871,63.622882599942386,m,1,0.5692924996837974,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
incongruent,X,,,,,0,2,2,4,63.63820349983871,,,,,,,,63.62357300007716,63.62401899974793,63.624043999705464,63.63820349983871,63.63820349983871,63.63820349983871,63.63820349983871,63.63820349983871,63.837726099882275,65.13804919971153,65.13804919971153,65.13804919971153,65.13804919971153,65.13804919971153,65.13804919971153,65.63813229976222,66.15366069972515,66.12406979966909,m,1,0.7656300002709031,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
incongruent,O,,,,,0,3,3,2,66.15366069972515,,,,,,,,66.12539829965681,66.12620909977704,66.12625099997967,66.15366069972515,66.15366069972515,66.15366069972515,66.15366069972515,66.15366069972515,66.33832219988108,67.63898409996182,67.65518359979615,67.65518359979615,67.65518359979615,67.65518359979615,67.65518359979615,68.13980979984626,68.63818719983101,68.62274000002071,z,1,0.7314671999774873,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
incongruent,O,,,,,0,4,4,6,68.63818719983101,,,,,,,,68.62343439972028,68.62402209965512,68.62405139999464,68.63818719983101,68.63818719983101,68.63818719983101,68.63818719983101,68.63818719983101,68.83842469984666,70.13880599988624,70.13880599988624,70.13880599988624,70.13880599988624,70.13880599988624,70.13880599988624,70.63739439984784,71.13760489970446,71.12222029967234,z,1,0.5514642996713519,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,O,,,,,0,5,5,11,71.13760489970446,,,,,,,,71.12291629984975,71.12341960007325,71.12344399979338,71.13760489970446,71.13760489970446,71.13760489970446,71.13760489970446,71.13760489970446,71.33771089976653,72.63751009991392,72.63751009991392,72.63751009991392,72.63751009991392,72.63751009991392,72.63751009991392,73.13764909980819,73.63717699982226,73.6217585997656,z,1,0.8814330999739468,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
incongruent,X,,,,,0,6,6,0,73.63717699982226,,,,,,,,73.62231849972159,73.62282119970769,73.62283929996192,73.63717699982226,73.63717699982226,73.63717699982226,73.63717699982226,73.63717699982226,73.8375523998402,75.13780419994146,75.13780419994146,75.13780419994146,75.13780419994146,75.13780419994146,75.13780419994146,75.63852799963206,76.13829089980572,76.12180759990588,m,1,0.3804246000945568,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
incongruent,X,,,,,0,7,7,8,76.13829089980572,,,,,,,,76.12248690007254,76.12297589983791,76.12300119968131,76.13829089980572,76.13829089980572,76.13829089980572,76.13829089980572,76.13829089980572,76.33791420003399,77.63754669995978,77.63754669995978,77.63754669995978,77.63754669995978,77.63754669995978,77.63754669995978,78.13757729995996,78.6374138998799,78.62189059983939,m,1,0.4352849000133574,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,X,,,,,0,8,8,5,78.6374138998799,,,,,,,,78.62259569996968,78.62311400007457,78.62313719978556,78.6374138998799,78.6374138998799,78.6374138998799,78.6374138998799,78.6374138998799,78.83752889977768,80.13665340002626,80.13665340002626,80.13665340002626,80.13665340002626,80.13665340002626,80.13665340002626,80.63754819985479,81.13695549964905,81.12189899990335,m,1,0.19747200002893806,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,X,,,,,0,9,9,9,81.13695549964905,,,,,,,,81.12265389971435,81.12328669987619,81.12331369984895,81.13695549964905,81.13695549964905,81.13695549964905,81.13695549964905,81.13695549964905,81.33665359998122,82.63726469967514,82.63726469967514,82.63726469967514,82.63726469967514,82.63726469967514,82.63726469967514,83.13727859966457,83.63728299969807,83.62233129981905,m,1,0.17813440039753914,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,O,,,,,0,10,10,7,83.63728299969807,,,,,,,,83.6230055000633,83.62354519963264,83.62356829969212,83.63728299969807,83.63728299969807,83.63728299969807,83.63728299969807,83.63728299969807,83.83727999962866,85.13712049974129,85.13712049974129,85.13712049974129,85.13712049974129,85.13712049974129,85.13712049974129,85.63757489994168,86.1373791997321,86.12088789977133,z,1,0.20185850001871586,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,O,,,,,0,11,11,3,86.1373791997321,,,,,,,,86.12142099998891,86.1219127997756,86.12192959990352,86.1373791997321,86.1373791997321,86.1373791997321,86.1373791997321,86.1373791997321,86.33691939990968,87.63684649998322,87.63684649998322,87.63684649998322,87.63684649998322,87.63684649998322,87.63684649998322,88.13721719989553,88.63710659975186,88.62113039987162,z,1,0.34359150007367134,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
congruent,O,,,,,1,0,12,7,88.63710659975186,,,,,,,,88.62181749986485,88.62230239994824,88.62232689978555,88.63710659975186,88.63710659975186,88.63710659975186,88.63710659975186,88.63710659975186,88.83752409974113,90.13723289966583,90.13723289966583,90.13723289966583,90.13723289966583,90.13723289966583,90.13723289966583,90.63701709965244,91.13715799991041,91.12130079977214,z,1,0.1431696997024119,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
incongruent,O,,,,,1,1,13,10,91.13715799991041,,,,,,,,91.12205319991335,91.12256029993296,91.12258209986612,91.13715799991041,91.13715799991041,91.13715799991041,91.13715799991041,91.13715799991041,91.33749020006508,92.63688230002299,92.63688230002299,92.63688230002299,92.63688230002299,92.63688230002299,92.63688230002299,93.13712859991938,93.63655349984765,93.62218259973451,z,1,0.4755589999258518,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
incongruent,X,,,,,1,2,14,4,93.63655349984765,,,,,,,,93.62286309991032,93.6234007999301,93.62343079969287,93.63655349984765,93.63655349984765,93.63655349984765,93.63655349984765,93.63655349984765,93.8362948000431,95.13669040007517,95.13669040007517,95.13669040007517,95.13669040007517,95.13669040007517,95.13669040007517,95.63596969982609,96.1362105999142,96.1210473999381,m,1,0.23170589981600642,None,,,,,,,1,99,0,2023-10-26_15h46.52.263,simon_task,2023.2.2,58.97231315729091,2023-10-26 15h47.12.484778 +0100,
