condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,Instruction_image.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,resp.started,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,trial_instructions.started,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
congruent,X,0,9,9,6,31.187789600000542,,,,,,,,,31.17263830000047,31.173231400000077,31.173256400001264,31.187789600000542,31.187789600000542,31.187789600000542,31.387865300001067,32.687706500000786,32.687706500000786,32.687706500000786,32.687706500000786,33.1875011000011,33.68699200000083,33.67188190000161,None,0,,001,1,0,2023-11-10_16h05.13.276,simon_task_simple3,2023.2.2,60.173576698826466,2023-11-10 16h05.22.788073 +0000,
congruent,O,1,0,10,3,33.68699200000083,,,,,,,,,33.67239750000044,33.67305160000069,33.67307550000078,33.68699200000083,33.68699200000083,33.68699200000083,33.88790540000082,35.188198900001225,35.188198900001225,35.188198900001225,35.188198900001225,35.68786810000165,36.1870299000002,36.173243600000205,None,0,,001,1,0,2023-11-10_16h05.13.276,simon_task_simple3,2023.2.2,60.173576698826466,2023-11-10 16h05.22.788073 +0000,
congruent,X,1,1,11,8,36.1870299000002,,,,,,,,,36.173839600000065,36.17440239999996,36.17442690000098,36.1870299000002,36.1870299000002,36.1870299000002,36.3879504000015,37.68750930000169,37.68750930000169,37.68750930000169,37.68750930000169,38.18751450000127,38.68681860000106,38.67210100000011,None,0,,001,1,0,2023-11-10_16h05.13.276,simon_task_simple3,2023.2.2,60.173576698826466,2023-11-10 16h05.22.788073 +0000,
congruent,O,1,2,12,9,38.68681860000106,,,,,,,,,38.672624000000724,38.67310550000002,38.673129800001334,38.68681860000106,38.68681860000106,38.68681860000106,38.88768020000134,40.187403700001596,40.187403700001596,40.187403700001596,40.187403700001596,40.68718480000098,41.18672839999999,41.171762700001636,None,0,,001,1,0,2023-11-10_16h05.13.276,simon_task_simple3,2023.2.2,60.173576698826466,2023-11-10 16h05.22.788073 +0000,
congruent,X,1,3,13,4,41.18672839999999,,,,,,,,,41.17226440000013,41.172723400000905,41.172746900001584,41.18672839999999,41.18672839999999,41.18672839999999,41.387094500001695,42.68769350000002,42.68769350000002,42.68769350000002,42.68769350000002,43.187514100000044,43.687222600001405,43.67176390000168,None,0,,001,1,0,2023-11-10_16h05.13.276,simon_task_simple3,2023.2.2,60.173576698826466,2023-11-10 16h05.22.788073 +0000,
congruent,X,1,4,14,2,43.687222600001405,,,,,,,,,43.67234340000141,43.67292610000004,43.672953000001144,43.687222600001405,43.687222600001405,43.687222600001405,43.88747330000115,45.187454300001264,45.187454300001264,45.187454300001264,45.187454300001264,45.68729800000074,46.18665500000134,46.17272950000006,None,0,,001,1,0,2023-11-10_16h05.13.276,simon_task_simple3,2023.2.2,60.173576698826466,2023-11-10 16h05.22.788073 +0000,
congruent,X,1,5,15,6,46.18665500000134,,,,,,,,,46.17328240000097,46.17378960000133,46.17381520000163,46.18665500000134,46.18665500000134,46.18665500000134,46.38725500000146,47.686425700001564,47.686425700001564,47.686425700001564,47.686425700001564,48.1874753000011,48.68615320000026,48.671321000001626,None,0,,001,1,0,2023-11-10_16h05.13.276,simon_task_simple3,2023.2.2,60.173576698826466,2023-11-10 16h05.22.788073 +0000,
congruent,O,1,6,16,5,48.68615320000026,,,,,,,,,48.6717959000016,48.672302500001024,48.67232380000132,48.68615320000026,48.68615320000026,48.68615320000026,48.886868600000525,50.18651450000107,50.18651450000107,50.18651450000107,50.18651450000107,50.68756580000081,51.186094600001525,51.17145840000012,None,0,,001,1,0,2023-11-10_16h05.13.276,simon_task_simple3,2023.2.2,60.173576698826466,2023-11-10 16h05.22.788073 +0000,
congruent,X,1,7,17,0,51.186094600001525,,,,,,,,,51.17203060000065,51.17254300000059,51.172568600000886,51.186094600001525,51.186094600001525,51.186094600001525,51.38734090000071,52.686864700001024,52.686864700001024,52.686864700001024,52.686864700001024,53.187410600001385,53.68628250000074,53.67145140000139,None,0,,001,1,0,2023-11-10_16h05.13.276,simon_task_simple3,2023.2.2,60.173576698826466,2023-11-10 16h05.22.788073 +0000,
congruent,O,1,8,18,1,53.68628250000074,,,,,,,,,53.671982700001536,53.67246590000104,53.67248970000037,53.68628250000074,53.68628250000074,53.68628250000074,53.88725960000011,55.187084800001685,55.187084800001685,55.187084800001685,55.187084800001685,55.686981700000615,56.18702610000037,56.17098400000032,None,0,,001,1,0,2023-11-10_16h05.13.276,simon_task_simple3,2023.2.2,60.173576698826466,2023-11-10 16h05.22.788073 +0000,
congruent,O,1,9,19,7,56.18702610000037,,,,,,,,,56.17150230000152,56.172029700001076,56.17205400000057,56.18702610000037,56.18702610000037,56.18702610000037,56.38636770000085,57.68692310000006,57.68692310000006,57.68692310000006,57.68692310000006,58.18669340000088,,58.6702118000012,None,0,,001,1,0,2023-11-10_16h05.13.276,simon_task_simple3,2023.2.2,60.173576698826466,2023-11-10 16h05.22.788073 +0000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.67042190000029,,,,,,,,,
