condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,resp.started,ITI.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,ITI.stopped,resp.stopped,simon_trial.stopped,resp.keys,resp.corr,trial_instructions.started,key_instruct_2.started,trial_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
congruent,O,4,3,19,3,,,,,41.767980800010264,,,,,,,,41.75296310009435,41.75345220044255,41.7534756003879,41.767980800010264,41.767980800010264,41.767980800010264,41.9688068004325,42.76768050016835,42.76768050016835,42.76768050016835,42.76768050016835,43.767616300377995,,43.767802500166,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.76814100006595,43.78462480008602,47.186185400001705,space,3.39799979981035,None,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
incongruent,X,,,,,0,0,0,0,47.20153299998492,,,,,,,,47.189965300261974,47.19028790015727,47.19030370004475,47.20153299998492,47.20153299998492,47.20153299998492,47.40244990028441,48.201280100271106,48.201280100271106,48.201280100271106,48.201280100271106,49.20132240001112,49.20132240001112,49.18605610029772,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
congruent,X,,,,,0,1,1,1,49.20132240001112,,,,,,,,49.18664410011843,49.187079400289804,49.18709950009361,49.20132240001112,49.20132240001112,49.20132240001112,49.401240300387144,50.20107140019536,50.20107140019536,50.20107140019536,50.20107140019536,51.201010200195014,51.201010200195014,51.18664020020515,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
incongruent,O,,,,,0,2,2,2,51.201010200195014,,,,,,,,51.187414300162345,51.18812860036269,51.18815660011023,51.201010200195014,51.201010200195014,51.201010200195014,51.40093800006434,52.201158800162375,52.201158800162375,52.201158800162375,52.201158800162375,53.20114750042558,53.20114750042558,53.18564540008083,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
congruent,O,,,,,0,3,3,3,53.20114750042558,,,,,,,,53.18626550026238,53.186761300079525,53.18678530026227,53.20114750042558,53.20114750042558,53.20114750042558,53.40164990024641,54.20051470026374,54.20051470026374,54.20051470026374,54.20051470026374,55.200745000038296,55.200745000038296,55.18584690010175,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
incongruent,X,,,,,1,0,4,0,55.200745000038296,,,,,,,,55.18644670024514,55.1870654001832,55.187088900245726,55.200745000038296,55.200745000038296,55.200745000038296,55.401241100393236,56.2010600999929,56.2010600999929,56.2010600999929,56.2010600999929,57.20074470015243,57.20074470015243,57.18573850020766,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
congruent,X,,,,,1,1,5,1,57.20074470015243,,,,,,,,57.18643250036985,57.18703560018912,57.18706270027906,57.20074470015243,57.20074470015243,57.20074470015243,57.40183030022308,58.201272500213236,58.201272500213236,58.201272500213236,58.201272500213236,59.20079700043425,,59.200932500418276,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
incongruent,O,,,,,1,2,6,2,59.217576400376856,,,,,,,,59.20132079999894,59.20194880012423,59.201965200249106,59.217576400376856,59.217576400376856,59.217576400376856,59.40168240014464,60.217155300080776,60.217155300080776,60.217155300080776,60.217155300080776,61.233539500273764,61.201538100373,61.20271680038422,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
congruent,O,,,,,1,3,7,3,61.233539500273764,,,,,,,,61.20350050041452,61.20428270008415,61.204319700133055,61.233539500273764,61.233539500273764,61.233539500273764,61.4178697001189,62.21717200009152,62.23357250029221,62.23357250029221,62.23357250029221,63.218895400408655,63.218895400408655,63.204083900433034,None,0,,,,,,,001,1,0,2023-10-25_17h03.18.907,simon_task,2023.2.2,59.10078159982132,2023-10-25 17h03.33.355729 +0100,
