condition,stim,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,prac_instructions.started,key_instruct.started,Instruction_image.started,prac_instructions.stopped,key_instruct.keys,key_instruct.rt,key_instruct.duration,simon_setup.started,simon_setup.stopped,simon_trial.started,fixation_cross.started,left_stim.started,right_stim.started,resp.started,fixation_cross.stopped,left_stim.stopped,right_stim.stopped,ITI.started,resp.stopped,ITI.stopped,simon_trial.stopped,resp.keys,resp.corr,trial_instructions.started,key_instruct_2.started,trial_instructions_image.started,trial_instructions.stopped,key_instruct_2.keys,key_instruct_2.rt,key_instruct_2.duration,session,participant,counterbalance,date,expName,psychopyVersion,frameRate,expStart,
incongruent,O,,,,,0,2,2,6,86.00206619999881,,,,,,,,,85.98780850000003,85.98833019999984,85.98835340000005,86.00206619999881,86.00206619999881,86.00206619999881,86.2022520999999,87.50312329999906,87.50312329999906,87.50312329999906,87.50312329999906,88.00283060000038,88.50225479999972,88.48786409999957,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,O,,,,,0,3,3,3,88.50225479999972,,,,,,,,,88.48835409999992,88.48880759999884,88.48883000000023,88.50225479999972,88.50225479999972,88.50225479999972,88.70216509999955,90.00266029999875,90.00266029999875,90.00266029999875,90.00266029999875,90.50239390000024,91.00186439999925,90.98707479999939,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,X,,,,,0,4,4,1,91.00186439999925,,,,,,,,,90.98763770000005,90.98811279999973,90.9881334999991,91.00186439999925,91.00186439999925,91.00186439999925,91.20222189999913,92.50204389999999,92.50204389999999,92.50204389999999,92.50204389999999,93.0025442999995,93.50194939999892,93.48766929999874,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
incongruent,X,,,,,0,5,5,4,93.50194939999892,,,,,,,,,93.48816850000003,93.4885961,93.4886174000003,93.50194939999892,93.50194939999892,93.50194939999892,93.7022438999993,95.0021216999994,95.0021216999994,95.0021216999994,95.0021216999994,95.50181829999929,96.00167409999995,95.98856319999868,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,X,,,,,0,6,6,9,96.00167409999995,,,,,,,,,95.98905240000022,95.9895617000002,95.98958409999977,96.00167409999995,96.00167409999995,96.00167409999995,96.20214479999959,97.50241470000037,97.50241470000037,97.50241470000037,97.50241470000037,98.00312389999999,98.50406829999883,98.48831109999992,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,X,,,,,0,7,7,5,98.50406829999883,,,,,,,,,98.48883529999875,98.48930389999987,98.48932839999907,98.50406829999883,98.50406829999883,98.50406829999883,98.70197869999902,100.0192178999987,100.0192178999987,100.0192178999987,100.00181239999984,100.50191529999938,101.00144369999907,100.98663239999951,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
incongruent,O,,,,,0,8,8,2,101.00144369999907,,,,,,,,,100.98717209999995,100.98767319999934,100.987697999999,101.00144369999907,101.00144369999907,101.00144369999907,101.20212059999903,102.50202619999982,102.50202619999982,102.50202619999982,102.50202619999982,103.00200029999905,103.50156049999896,103.48621099999946,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
incongruent,O,,,,,0,9,9,10,103.50156049999896,,,,,,,,,103.48672219999935,103.48711259999982,103.48713010000029,103.50156049999896,103.50156049999896,103.50156049999896,103.70199139999932,105.00329149999925,105.00329149999925,105.00329149999925,105.00329149999925,105.50269649999973,106.0010284,105.98717829999987,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,O,,,,,0,10,10,7,106.0010284,,,,,,,,,105.98771419999866,105.98820129999876,105.98822610000025,106.0010284,106.0010284,106.0010284,106.20181649999904,107.50163479999901,107.50163479999901,107.50163479999901,107.50163479999901,108.00215879999996,108.50089649999973,108.4851781999987,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
incongruent,X,,,,,0,11,11,8,108.50089649999973,,,,,,,,,108.48547309999958,108.4858482999989,108.48585920000005,108.50089649999973,108.50089649999973,108.50089649999973,108.68521390000024,110.00118279999879,110.00118279999879,110.00118279999879,109.98503890000029,110.48591870000018,110.984449399999,110.96939310000016,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,O,,,,,1,0,12,11,110.984449399999,,,,,,,,,110.96993610000027,110.97043169999961,110.97045609999986,110.984449399999,110.984449399999,110.984449399999,111.18497389999902,112.4841249000001,112.4841249000001,112.4841249000001,112.4841249000001,112.98465109999961,113.4840965000003,113.46894729999985,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
incongruent,O,,,,,1,1,13,2,113.4840965000003,,,,,,,,,113.46944549999898,113.46994619999896,113.46996509999917,113.4840965000003,113.4840965000003,113.4840965000003,113.68465599999945,114.9845194999998,114.9845194999998,114.9845194999998,114.9845194999998,115.48525599999994,115.9844291999998,115.96964250000019,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
incongruent,O,,,,,1,2,14,10,115.9844291999998,,,,,,,,,115.97023400000035,115.97076930000003,115.97079689999919,115.9844291999998,115.9844291999998,115.9844291999998,116.1860603999994,117.48604030000024,117.48604030000024,117.48604030000024,117.48604030000024,118.00133809999897,,118.48554080000031,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
incongruent,X,,,,,1,3,15,0,118.50106570000025,,,,,,,,,118.48605130000033,118.48670739999943,118.48673059999965,118.50106570000025,118.50106570000025,118.50106570000025,118.70160639999995,120.00162439999986,120.00162439999986,120.00162439999986,120.00162439999986,120.50077499999861,121.00056210000002,120.98462499999914,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
congruent,O,,,,,1,4,16,7,121.00056210000002,,,,,,,,,120.98490449999917,120.98528540000007,120.98529690000032,121.00056210000002,121.00056210000002,121.00056210000002,121.20093239999915,122.50111339999967,122.50111339999967,122.50111339999967,122.50111339999967,123.00108269999873,123.50124539999888,123.4848009999987,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
incongruent,X,,,,,1,5,17,8,123.50124539999888,,,,,,,,,123.48521019999862,123.4856190999999,123.48563979999926,123.50124539999888,123.50124539999888,123.50124539999888,123.70087929999863,125.00068199999987,125.00068199999987,125.00068199999987,125.00068199999987,125.50124789999973,126.00066779999906,125.98605560000033,None,0,,,,,,,,001,1,0,2023-11-10_16h18.23.391,simon_task_simple3,2023.2.2,60.48454166314721,2023-11-10 16h18.33.083396 +0000,
